Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions
4017263283405469185,0.002281440378799093,7141.36641939,0.030090117918076687,-12.557645607719635,0.336198347107438,2034,6050
4017323550554338817,0.0,3134.7351025000003,0.2132083276743787,0.0,0.5009174311926605,273,545
4019895412775450368,0.02092662067559102,2640.30025492,0.2847008949882415,0.0,0.4238178633975482,242,571
4020204877254599680,0.006290503189197149,71998.85595307,0.060748033614844925,-8.028348113683956,0.3294214876033058,1993,6050
4021243448368889856,0.001712312925088602,1498.1937578999998,0.09470702599200141,-1.2609706416207433,0.3785123966942149,2290,6050
4021669203289716224,0.00805757079005522,26427.33159178,0.06825074237072257,-0.16156844065773077,0.31391200951248516,528,1682
4022565861939831809,0.004444177056832332,14197.577075890002,0.29960236775731863,-0.10895996791550254,0.5276595744680851,372,705
4022641794255717633,0.038017849075666674,2176.83382376,0.558737617842448,-0.5594832487580702,0.43522802379378717,2634,6052
4023616625178799873,0.01529576528883691,2087.7711930100004,0.25334428453106705,-0.002349504612019257,0.40991535671100365,339,827
4023697433751327232,0.061753205733844706,2408.2239999800004,0.30015934309004805,0.0,0.09523809523809523,4,42
4023697881318718465,0.0649950115068769,3151.95061998,0.2758701284486444,0.0,0.08571428571428572,6,70
4026179081117855488,0.007838987222332124,6796.18836,0.13958624744632814,-2.0619916930702145,0.233502538071066,46,197
4027747397961573889,0.0035905738640522426,2638.2194499600005,0.08976022874771172,-5.298515860740695,0.45,207,460
4028427053699127040,0.015632439513414354,2633.02381341,0.2642711669506095,-0.0929899343218011,0.2975206611570248,36,121
4028701921959171840,0.007940795629317786,17601.40139824,0.27572387832983053,-0.04517672012232755,0.5429403202328966,373,687
4029299190618134272,0.012426518525233373,3354.1458763700007,0.2385430453330259,-0.48111512190174904,0.3130434782608696,72,230
4029422834086627072,0.025892171509739173,2799.9025498399997,0.5116182899882394,0.0,0.37254901960784315,38,102
4029506971304830209,0.06037649763520986,2413.6540000200002,0.24490724451952647,-0.0015850168875165807,0.057692307692307696,3,52
4029507714735307777,0.06831702168912371,1537.89995998,0.1958523633818955,0.0,0.03773584905660377,2,53
4029749871687083265,0.062097332710294564,3662.13654822,0.3538772369515272,0.0,0.4287383177570093,367,856
4030392204221219329,0.0,1347.75800996,0.2007295988335892,0.0,0.09411764705882353,8,85
4030395639953224449,0.00877818807418369,4413.76154738,0.16783749880260376,-0.04788338751295235,0.17479674796747968,86,492
4030555430101054209,0.011639113253760054,3358.38032001,0.3240861720995911,0.0,0.2644628099173554,32,121
4030565764341697025,0.01680095297592012,2789.8782899599996,0.33289916900470407,-0.03214792167222979,0.4857142857142857,51,105
4030626027667524352,0.0031501035202458495,3796.34803991,0.21044591322903483,-0.15339556871450624,0.4978540772532189,116,233
4030635536196756737,0.0,2581.61417484,0.09049923129812824,-0.13958217443319573,0.5247295208655333,679,1294
4030708912786799105,0.06203468052431715,1612.84376999,0.18414108868407542,0.0,0.03333333333333333,2,60
4031173908980084736,0.011481721180785661,5360.425729910001,0.29563686687889357,-0.017522692580342825,0.37777777777777777,85,225
4031181049693676544,0.014486393386784747,4545.2423384,0.21445398662938117,-43.57377089591324,0.24172185430463577,73,302
4031408429897920512,0.0,1351.26659997,0.1578306045851714,0.0,0.04878048780487805,4,82
4031414524297538817,0.02636686645749033,2726.7956177399997,0.2982766332704787,-0.3145626129714143,0.36885245901639346,90,244
4031451549482615297,0.018843892716443024,3124.54121527,0.22530212904555794,-0.3599710775148309,0.38596491228070173,44,114
4031493134338259457,0.0023175965582710963,9082.698287860003,0.1561139933963429,-0.9598974471669375,0.36156696664902066,683,1889
4031673021422897664,0.009776241188073059,1984.7171999900002,0.26854565826741766,-0.1521797933484549,0.314410480349345,72,229
4032403303704824321,0.0,2060.57051952,0.10783364846800148,-6.904114679049126,0.5515695067264574,123,223
4033614723417828608,0.0,4602.2398164900005,0.10878629417741874,-inf,0.22286821705426357,115,516
4033639786957934336,0.014035131578168169,2848.14185731,0.21441244620886019,0.0,0.16778523489932887,25,149
4034359562055356161,0.0,5284.65441593,0.15741866816692546,-0.3013641566329005,0.48936170212765956,391,799
4034786679304751616,0.0,2521.07586938,0.20821777919657022,0.0,0.38317757009345793,123,321
4035034554469394176,0.0,2517.3207997300005,0.10896770520343158,-0.505904547146536,0.1670886075949367,66,395
4035430878731345664,0.03795590618806442,2493.75041995,0.4696392626687299,0.0,0.48314606741573035,43,89
4036548677626662656,0.01117818540735508,3296.87667987,0.24267706977780504,0.0,0.46258503401360546,68,147
4037073643537925121,0.03953170334474306,1540.4004996200001,0.1644167759484143,0.0,0.1860986547085202,83,446
4037121179310444801,0.0025953889207596553,7237.92173826,0.10910167793369141,-0.1565518916107886,0.48401253918495296,772,1595
4037179073830813185,0.013687130909749639,2331.43490998,0.24056754653620313,0.0,0.4246575342465753,31,73
4037282461943784704,0.005045449679285892,4760.365619499999,0.11982504149488445,-0.4911583286369448,0.2698412698412698,136,504
4037511388357114368,0.007701533587250776,3552.34051692,0.0881238849981656,-2.289936338438409,0.4333683105981112,413,953
4037717032428033792,0.0,1897.3229995000002,0.22211094110553858,0.0,0.3217665615141956,102,317
4037785885739608577,0.0,1934.5792352600001,0.22307365285662156,0.0,0.23228346456692914,59,254
4038768306117031680,0.03277228867762855,1741.9142598800001,0.13502764686297253,0.0,0.22,22,100
4039129759104249600,0.0,1264.28919972,0.5220426060771436,0.0,0.44360902255639095,59,133
4039279455324236544,0.01588587736302084,1038.8074192600002,0.4716836338542194,0.0,0.5535168195718655,181,327
4040382575336130560,0.0,0.0,0.0,,0.0,0,76
4040843843196854529,0.018938068935710022,2151.70406,0.3416676069898303,0.0,0.3220338983050847,19,59
4041804592937345281,-0.002675910490528479,-776.34299969,-0.077929136713139,-46.067383748018756,0.23097826086956522,85,368
4041860229502600193,0.026867613401699516,2327.33599982,0.4571934663380226,0.0,0.3917525773195876,38,97
